date,niiee
2022-01-03,101.87987749612536
2022-01-04,86.73242289570226
2022-01-05,90.04299779197474
2022-01-10,65.39038457276399
2022-01-11,72.01074237080462
2022-01-12,59.19587491883999
2022-01-18,95.87515938776458
2022-01-19,80.16605328951384
2022-01-24,99.02451610221848
2022-01-25,114.99921576956991
2022-01-26,115.20418952757213
2022-01-31,82.93895274053513
2022-02-01,60.41571777021908
2022-02-02,73.0548712502074
2022-02-07,78.90349766697122
2022-02-08,89.41441106517001
2022-02-09,85.76407685616809
2022-02-14,103.23171672878584
2022-02-15,92.03325895661756
2022-02-16,93.98796796509464
2022-02-21,73.8367908095039
2022-02-22,81.72767579809982
2022-02-23,79.83013010269806
2022-02-28,60.2040501556946
2022-03-01,62.91738244929113
2022-03-02,54.42413942468939
2022-03-07,71.01629534016297
2022-03-08,72.34517016689009
2022-03-09,74.78672148655139
2022-03-14,81.95043323287106
2022-03-15,67.81701314609602
2022-03-16,87.59696951995686
2022-03-21,115.12796942763023
2022-03-22,101.434547769724
2022-03-23,102.41999928753631
2022-03-28,71.54841340652607
2022-03-29,95.37250332339964
2022-03-30,58.46941395824511
2022-04-04,52.30679572512543
2022-04-05,47.552914361477725
2022-04-06,44.18916529220273
2022-04-11,50.62003831047827
2022-04-19,61.9845147809741
2022-04-20,63.05759572822886
2022-04-25,49.74673395464074
2022-04-26,57.18617411647425
2022-04-27,58.1488340153334
2022-05-02,57.55584739996114
2022-05-03,67.41114998174031
2022-05-04,61.30105524896007
2022-05-09,55.920685329961046
2022-05-10,55.80240431014373
2022-05-11,66.0561649945653
2022-05-16,87.75689367618213
2022-05-18,111.5727453295709
2022-05-23,84.30612299863027
2022-05-25,94.66091921863242
2022-05-30,136.50528527769362
2022-05-31,130.9244355169119
2022-06-01,180.98966976775876
2022-06-07,114.17493189141388
2022-06-08,117.62875778511122
2022-06-13,84.27381710464216
2022-06-14,85.92186053124767
2022-06-15,85.43067303027514
2022-06-20,104.92296787605052
2022-06-21,124.19947278301213
2022-06-22,104.2626334961849
2022-06-27,77.74649726726643
2022-06-28,84.50949946948289
2022-06-29,95.32011835818032
2022-07-04,75.03933189159784
2022-07-05,94.63154138207784
2022-07-06,87.43404438675515
2022-07-11,98.25625010366514
2022-07-12,92.25989654218276
2022-07-13,95.8309766937425
2022-07-18,70.59535211446412
2022-07-19,74.93083352816925
2022-07-20,97.16679758865553
2022-07-25,111.3288356539618
2022-07-26,132.79375862526666
2022-07-27,144.82722039517685
2022-08-01,111.05741495381808
2022-08-02,117.71641242595967
2022-08-03,101.71150255859972
2022-08-08,127.98988322128749
2022-08-09,123.32254932906878
2022-08-10,118.84163936857294
2022-08-15,102.97012338693048
2022-08-16,112.43196751660004
2022-08-17,100.1687186684022
2022-08-22,113.29474094796042
2022-08-23,119.85363061415812
2022-08-24,113.65804336324116
2022-08-29,93.51732803623776
2022-08-30,112.49167389947888
2022-08-31,94.03855488740452
2022-09-05,122.11102996790288
2022-09-06,133.43379220381567
2022-09-07,136.29284196676537
2022-09-12,110.57615884625557
2022-09-13,128.759527938554
2022-09-14,122.27949741267038
2022-09-19,113.94148372612094
2022-09-20,106.13311792396524
2022-09-21,109.69329914216895
2022-09-26,74.60861663812499
2022-09-27,61.58562316198613
2022-09-28,67.86350202390983
2022-10-03,53.98024222001879
2022-10-04,51.33073526105875
2022-10-05,54.07806963316104
2022-10-10,44.60666000143279
2022-10-11,40.63181436610389
2022-10-12,44.885544141251216
2022-10-17,42.84007027186653
2022-10-18,39.566295118176406
2022-10-19,38.33039139335371
2022-10-24,42.369180805804994
2022-10-25,36.17854700713151
2022-10-26,32.85547876818686
2022-10-31,52.66197943553331
2022-11-01,37.23981064524846
2022-11-02,35.30353396625452
2022-11-07,47.11422530196827
2022-11-08,38.192404494798346
2022-11-09,38.89203330258832
2022-11-14,43.79576172421552
2022-11-15,42.621319386111445
2022-11-16,37.52020691502293
2022-11-21,76.68977849284852
2022-11-23,63.54127762173681
2022-11-28,67.53446058001688
2022-11-29,61.888550455462514
2022-11-30,68.61984748090238
2022-12-05,63.1763883054204
2022-12-06,96.66714808467565
2022-12-07,76.60003850047794
2022-12-12,82.2289848171083
2022-12-13,97.3668426874648
2022-12-14,137.03558952343545
2022-12-19,151.1525238884907
2022-12-20,120.24761220651996
2022-12-21,126.66477624607836
2022-12-27,91.08112270701156
2022-12-28,72.93969892019588
